work_id,payment_status,payment_risk_score,payment_anomaly_status,payment_signal_count,payment_high_signal_count,payment_reasons,payment_evidence
WS/MP176/2025-2026/243279,EVALUABLE,12.0,ANOMALY,1,1,"[""utilization_expenditure signal payment_utilization_ratio is unusually low relative to fitted historical payment behavior (modified_z_score).""]","{""family_contributions"": {""completion_progress"": 0, ""transaction_activity"": 0, ""utilization_expenditure"": 12.0, ""vendor_concentration"": 0}, ""signals"": [{""family"": ""utilization_expenditure"", ""method"": ""modified_z_score"", ""severity"": ""HIGH"", ""signal"": ""payment_utilization_ratio"", ""strength"": 34.5017, ""value"": 0.5}]}"
WS/MP176/2025-2026/243280,EVALUABLE,12.0,ANOMALY,1,1,"[""utilization_expenditure signal payment_utilization_ratio is unusually low relative to fitted historical payment behavior (modified_z_score).""]","{""family_contributions"": {""completion_progress"": 0, ""transaction_activity"": 0, ""utilization_expenditure"": 12.0, ""vendor_concentration"": 0}, ""signals"": [{""family"": ""utilization_expenditure"", ""method"": ""modified_z_score"", ""severity"": ""HIGH"", ""signal"": ""payment_utilization_ratio"", ""strength"": 34.5017, ""value"": 0.5}]}"
WS/MP176/2025-2026/243281,EVALUABLE,0.0,NORMAL,0,0,[],"{""family_contributions"": {""completion_progress"": 0, ""transaction_activity"": 0, ""utilization_expenditure"": 0, ""vendor_concentration"": 0}, ""signals"": []}"
WS/MP176/2025-2026/243283,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP176/2025-2026/243284,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP176/2025-2026/243285,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP176/2025-2026/243286,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP176/2025-2026/243305,EVALUABLE,12.0,ANOMALY,1,1,"[""utilization_expenditure signal payment_utilization_ratio is unusually low relative to fitted historical payment behavior (modified_z_score).""]","{""family_contributions"": {""completion_progress"": 0, ""transaction_activity"": 0, ""utilization_expenditure"": 12.0, ""vendor_concentration"": 0}, ""signals"": [{""family"": ""utilization_expenditure"", ""method"": ""modified_z_score"", ""severity"": ""HIGH"", ""signal"": ""payment_utilization_ratio"", ""strength"": 34.5052, ""value"": 0.49995}]}"
WS/MP176/2025-2026/243306,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP176/2025-2026/243308,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP176/2025-2026/243771,EVALUABLE,12.0,ANOMALY,1,1,"[""utilization_expenditure signal payment_utilization_ratio is unusually low relative to fitted historical payment behavior (modified_z_score).""]","{""family_contributions"": {""completion_progress"": 0, ""transaction_activity"": 0, ""utilization_expenditure"": 12.0, ""vendor_concentration"": 0}, ""signals"": [{""family"": ""utilization_expenditure"", ""method"": ""modified_z_score"", ""severity"": ""HIGH"", ""signal"": ""payment_utilization_ratio"", ""strength"": 34.5017, ""value"": 0.5}]}"
WS/MP176/2025-2026/264721,EVALUABLE,0.0,NORMAL,0,0,[],"{""family_contributions"": {""completion_progress"": 0, ""transaction_activity"": 0, ""utilization_expenditure"": 0, ""vendor_concentration"": 0}, ""signals"": []}"
WS/MP176/2026-2027/278424,EVALUABLE,0.0,NORMAL,0,0,[],"{""family_contributions"": {""completion_progress"": 0, ""transaction_activity"": 0, ""utilization_expenditure"": 0, ""vendor_concentration"": 0}, ""signals"": []}"
WS/MP176/2026-2027/278427,EVALUABLE,0.0,NORMAL,0,0,[],"{""family_contributions"": {""completion_progress"": 0, ""transaction_activity"": 0, ""utilization_expenditure"": 0, ""vendor_concentration"": 0}, ""signals"": []}"
