sr_no,state,mp,constituency,allocated_amount,work_id_canonical,work_id_status,house,source_file,elected_nominated
24,Assam,AMARSING TISSO,Diphu (ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
25,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
26,Maharashtra,Amol Ramsing Kolhe,SHIRUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
27,Rajasthan,AMRARAM,SIKAR,165691544.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
28,Punjab,AMRINDER SINGH RAJA WARRING,LUDHIANA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
29,Uttar Pradesh,ANAND BHADAURIYA,DHAURAHRA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
30,Uttar Pradesh,ANAND KUMAR,BAHRAICH(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
31,Odisha,ANANTA NAYAK,KEONJHAR(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
32,Tamil Nadu,Andimuthu Raja,NILGIRIS(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
33,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
34,Manipur,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
35,Uttarakhand,ANIL BALUNI,GARHWAL,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
36,Maharashtra,ANIL YESHWANT DESAI,MUMBAI SOUTH CENTRAL,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
37,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
38,Odisha,ANITA SUBHADARSHINI,ASKA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
39,Jharkhand,Annpurna Devi,KODARMA,166665931.8,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
40,Uttar Pradesh,ANOOP PRADHAN BALMIKI,HATHRAS (SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
