"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"521","Normal/Others","WS/MP526/2024-2025/135770-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","Laying of inspection track from Km 1.500 to km 2.250 of Cherlopalli Minor of Gurijala distributory near Bidinamcherla (V) of Simhadripuram (M), YSR District","20-Aug-2024","497000","18-Nov-2024"
"522","Normal/Others","WS/MP526/2024-2025/135771-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","Laying of inspection track from Km 2.260 to km 2.900 of Cherlopalli Minor of Gurijala distributory near Bidinamcherla (V) of Simhadripuram (M), YSR District","20-Aug-2024","496000","18-Nov-2024"
"523","Normal/Others","WS/MP526/2024-2025/135772-Construction of community centers and community halls","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","Completion of Incomplete community Hall in 4th ward in Vempalli (V &M), YSR District.","20-Aug-2024","980399","08-Jan-2025"
"524","Normal/Others","WS/MP526/2024-2025/135773-Providing supply pipelines for drinking water","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","Replacement of old Pump set with accessaries and Pipe line near OHSR tank at Chinnakudala (V) of Lingal Mandal, YSR District.","20-Aug-2024","400000","18-Nov-2024"
"525","Trust and Society","WS/MP431/2024-2025/135774-Construction of buildings for community cultural activities","Haryana","GURUGRAM(DC CUM NODAL OFFICER MPLADS_5)","Rao Inderjit Singh","GURGAON","Const. of Jat Bhawan","15-Aug-2024","1500000","16-Dec-2024"
"526","Normal/Others","WS/MP18065/2024-2025/135791-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Deveopment works in Mulla Jat Choupal","16-Aug-2024","500000","31-Dec-2024"
"527","Normal/Others","WS/MP18065/2024-2025/135792-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Const. of Room near Shiv Mandir","16-Aug-2024","462258","09-Dec-2024"
"528","Normal/Others","WS/MP18065/2024-2025/135793-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Development Works in Dada Birwan Brahman Choupal","16-Aug-2024","500000","23-Jan-2025"
"529","Normal/Others","WS/MP18065/2024-2025/135794-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","17 Village Prajapat Choupal Construction","16-Aug-2024","1000000","05-Nov-2024"
"530","Normal/Others","WS/MP18065/2024-2025/135795-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Const./Comp. of Dharamshala near Ravidas Mandir","16-Aug-2024","698917","09-Dec-2024"
"531","Normal/Others","WS/MP18065/2024-2025/135796-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Development Works in Balmiki Choupal","16-Aug-2024","476498","05-Nov-2024"
"532","Normal/Others","WS/MP18065/2024-2025/135797-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Development Works in Balmiki Choupal","16-Aug-2024","494949","09-Dec-2024"
"533","Normal/Others","WS/MP18065/2024-2025/135798-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Development Works in Harijan Choupal","16-Aug-2024","500000","23-Jan-2025"
"534","Normal/Others","WS/MP18065/2024-2025/135799-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Development works in Harijan Choupal","16-Aug-2024","498149","23-Jan-2025"
"535","Normal/Others","WS/MP18065/2024-2025/135800-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Development works in Ambedkar Bhawan","16-Aug-2024","500000","31-Dec-2024"
"536","Normal/Others","WS/MP18065/2024-2025/135806-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Const. of Hall in Dada Buda Comittee","16-Aug-2024","550000","09-Dec-2024"
"537","Normal/Others","WS/MP18065/2024-2025/135807-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Const./Comp. of Kusti Hall","16-Aug-2024","1100000","09-Dec-2024"
"538","Normal/Others","WS/MP18065/2025-2026/135808-Construction of buildings for sports facilities","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","Development works in Sakshi Malik Gym Hall","16-Aug-2024","500000","04-Aug-2025"
"539","Normal/Others","WS/MP826/2025-2026/135810-Purchase of non-conventional energy system and devices for community use","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","Installation of Solar Water Heating system at Jawahar Navodaya Vidyalaya, Chhabbisay  Ref: Principal JNV (9430513978)","16-Aug-2024","300000","18-Jun-2025"
"540","Normal/Others","WS/MP826/2024-2025/135811-Development of playground","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","Development of Maneybanjhyang Playground at Ward No 7, Sukhiapokhari GP  Ref: Chipa Bhutia (7602837768)","16-Aug-2024","484200","23-Dec-2024"
"541","Normal/Others","WS/MP826/2024-2025/135812-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","Construction of road at Mineral Spring Godown Dhura  Ref: Balsingh Sudhar Samaj (9064618023)","16-Aug-2024","497528","05-Mar-2025"
"542","Normal/Others","WS/MP812/2024-2025/135813-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","DEODAR PIPRA SOHSA CHAURAHE SE 4KM PAR HIGH MAST KI STAPANA","17-Aug-2024","236234","19-Mar-2025"
"543","Normal/Others","WS/MP812/2024-2025/135814-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","BHUDA DIH MOTICHAK NAHAR KE PAS HIGH MAST KI STHAPANA","17-Aug-2024","236234","19-Mar-2025"
"544","Normal/Others","WS/MP812/2025-2026/135815-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","SOHSA CHAURAHE PAR HIGH MAST KI STHAPANA","17-Aug-2024","236234","24-Jul-2025"
"545","Normal/Others","WS/MP812/2024-2025/135816-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","SEKHAWANIYA KHURD MUSAHAR TOLI ME HIGH MAST KI STHAPANA","17-Aug-2024","236234","19-Mar-2025"
