"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1822","Normal/Others","WS/MP334/2024-2025/139161-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near deosharan mahto huse in lodhkiyari in bagda","06-Sep-2024","22000","15-Oct-2024"
"1823","Normal/Others","WS/MP334/2024-2025/139162-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near prafful mahtoi in lodhkiyari in bagda","06-Sep-2024","22000","15-Oct-2024"
"1824","Normal/Others","WS/MP334/2024-2025/139163-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near sushil mahto house in raghunathpur in bagda","06-Sep-2024","22000","15-Oct-2024"
"1825","Normal/Others","WS/MP334/2024-2025/139164-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bhawanipur bargad ped in bagda","06-Sep-2024","22000","15-Oct-2024"
"1826","Normal/Others","WS/MP334/2024-2025/139165-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near karmali tola of raghunathpur in bagda","06-Sep-2024","22000","15-Oct-2024"
"1827","Normal/Others","WS/MP334/2024-2025/139166-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bikram singh house in bagda","06-Sep-2024","22000","15-Oct-2024"
"1828","Normal/Others","WS/MP334/2024-2025/139167-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near pakribandh chouraha in bagda","06-Sep-2024","22000","15-Oct-2024"
"1829","Normal/Others","WS/MP334/2024-2025/139168-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near gujar mod in bagda","06-Sep-2024","22000","15-Oct-2024"
"1830","Normal/Others","WS/MP716/2024-2025/139170-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","Construction of Interlock Street & Both Side Drains House from Visakha Singh s/o Mukhtiyar Singh to Bhola Singh s/o Jora Singh House","05-Sep-2024","73371","17-Sep-2024"
"1831","Normal/Others","WS/MP716/2024-2025/139171-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","Construction of Interlock Street & Both Side Drains House From Gurnam singh s/o bhag singh to gurjant singh s/o Mukhtiyar Singh House","05-Sep-2024","350000","17-Sep-2024"
"1832","Normal/Others","WS/MP716/2024-2025/139172-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","Construcitoin of Interlock Street & Both Side Drains Guru Ghar to Chamkor Singh s/o Karnail Singh House","05-Sep-2024","479391","17-Sep-2024"
"1833","Normal/Others","WS/MP716/2024-2025/139173-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","Construction of Interlock Street & Both Side Drains House form Avtar Singh s/o Lakha Singh to Kewal Singh House","05-Sep-2024","117899","17-Sep-2024"
"1834","Normal/Others","WS/MP18236/2024-2025/139174-Lighting of public spaces","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","CHHOTELAL","ROBERTSGANJ(SC)","Installation of semi high mast light at village Chaumuhani/Trimuhani in the middle of village Deori  Block Naugarh","05-Sep-2024","243756","02-Dec-2024"
"1835","Normal/Others","WS/MP18236/2024-2025/139175-Lighting of public spaces","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","CHHOTELAL","ROBERTSGANJ(SC)","Installation of semi high mast light at village Chaumuhani in the middle of village Barbaspur  Block Naugarh","05-Sep-2024","243756","02-Dec-2024"
"1836","Normal/Others","WS/MP18236/2024-2025/139176-Lighting of public spaces","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","CHHOTELAL","ROBERTSGANJ(SC)","Installation of semi high mast light on the roadside near village Naugarh Baghi Ambedkarji  Block Naugarh","05-Sep-2024","243756","02-Dec-2024"
"1837","Normal/Others","WS/MP18236/2024-2025/139178-Lighting of public spaces","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","CHHOTELAL","ROBERTSGANJ(SC)","Installation of semi high mast light on the road near the house of Ramchandra son of late Bechu of village Nonavat  Block Naugarh","05-Sep-2024","243756","02-Dec-2024"
"1838","Normal/Others","WS/MP334/2024-2025/139180-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near lalkishore mahto house in taangtona","06-Sep-2024","22000","15-Oct-2024"
"1839","Normal/Others","WS/MP334/2024-2025/139181-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near laxman mahto house nawadih in tangtona.","06-Sep-2024","22000","15-Oct-2024"
"1840","Normal/Others","WS/MP334/2024-2025/139182-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near hari mandir nawadih tangtona","06-Sep-2024","22000","15-Oct-2024"
"1841","Normal/Others","WS/MP334/2024-2025/139183-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near chandramohan mahto house neechetola tangtona.","06-Sep-2024","22000","15-Oct-2024"
"1842","Normal/Others","WS/MP334/2024-2025/139184-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near dasrath mahto house in tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1843","Normal/Others","WS/MP334/2024-2025/139185-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kapileshwar mahto house postoffice in tangtona","06-Sep-2024","22000","14-Oct-2024"
"1844","Normal/Others","WS/MP334/2024-2025/139186-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near ashok singh forest office in tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1845","Normal/Others","WS/MP334/2024-2025/139187-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near amulya mahto house in tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1846","Normal/Others","WS/MP334/2024-2025/139188-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near hari mandir teliyadih in tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1847","Normal/Others","WS/MP334/2024-2025/139189-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrang bali mandir teliyadih in tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1848","Normal/Others","WS/MP18173/2024-2025/139190-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Providing CC Pavement at Koralur village perumal koil street at Tennalapakkam panchayat","05-Sep-2024","999000","24-Sep-2024"
"1849","Normal/Others","WS/MP18173/2024-2025/139191-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Providing CC paver blocks at Kulakarai pathai at Taludali panchayat","05-Sep-2024","999800","18-Oct-2024"
"1850","Normal/Others","WS/MP18173/2024-2025/139192-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Construction of V.A.O Office building in Perumbugai Panchayat","05-Sep-2024","999121","18-Oct-2024"
"1851","Normal/Others","WS/MP18173/2024-2025/139193-Construction of buildings for community cultural activities","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Construction of Drama Stage in Perumbugai Panchayat","05-Sep-2024","999362","18-Oct-2024"
"1852","Normal/Others","WS/MP18173/2024-2025/139194-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Madha Koil Street at Nagathur Panchayat","05-Sep-2024","999231","18-Oct-2024"
"1853","Normal/Others","WS/MP18173/2024-2025/139195-Construction of buildings for community cultural activities","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Construction of Drama Stage at Kilkaranai Village in Purangarai Panchayat","05-Sep-2024","699835","10-Oct-2024"
"1854","Normal/Others","WS/MP18173/2024-2025/139196-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at ADC Mariyamman Koil Street at Purangarai Panchayat","05-Sep-2024","349865","10-Oct-2024"
"1855","Normal/Others","WS/MP18173/2024-2025/139197-Providing drains and gutters for public drainage","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Side Drainage in Ward No.9 at Arani Municipality","05-Sep-2024","998988","24-Jan-2025"
"1856","Normal/Others","WS/MP18173/2025-2026/139198-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement in Koneri Street at Cheyyar Municipality","05-Sep-2024","600000","31-Jul-2025"
"1857","Normal/Others","WS/MP18173/2025-2026/139199-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providig CC Pavement at Abirami Ramanathan hospital near nara street at vandavasi municipality","05-Sep-2024","150000","11-Jul-2025"
"1858","Normal/Others","WS/MP18173/2025-2026/139200-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction Threshing Floor in Vaduvankudisai at Peranamallur Municipality","05-Sep-2024","500000","18-Aug-2025"
"1859","Normal/Others","WS/MP18173/2025-2026/139201-Construction of bus-sheds or bus-stops","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of Bus Shelter in ST Kudieruppu at Desur Municipality","05-Sep-2024","500000","30-Jan-2026"
"1860","Normal/Others","WS/MP18173/2024-2025/139202-Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Purchase of Three wheeler at Disabled person","05-Sep-2024","456670","28-Mar-2025"
"1861","Normal/Others","WS/MP334/2024-2025/139203-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near jitendra mahto house churin gadha tangtona","06-Sep-2024","22000","14-Oct-2024"
"1862","Normal/Others","WS/MP334/2024-2025/139204-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near murlidhar mahto house tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1863","Normal/Others","WS/MP334/2024-2025/139205-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near devendra mahto house tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1864","Normal/Others","WS/MP334/2024-2025/139206-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near balram mahto house tangtona","06-Sep-2024","22000","14-Oct-2024"
"1865","Normal/Others","WS/MP334/2024-2025/139207-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near arun turi house tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1866","Normal/Others","WS/MP334/2024-2025/139212-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kirani karmali house tangtona","06-Sep-2024","22000","14-Oct-2024"
"1867","Normal/Others","WS/MP334/2024-2025/139213-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shiv mandir tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1868","Normal/Others","WS/MP334/2024-2025/139214-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near tarkeshwar prasad manjura house pagartand in tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1869","Normal/Others","WS/MP334/2024-2025/139215-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near ravindra kumar pandey house singhpur pandeytola tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1870","Normal/Others","WS/MP334/2024-2025/139216-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kapileshwar mahto house jehratand in tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1871","Normal/Others","WS/MP334/2024-2025/139222-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near athwa mahto house jolha kanari nawadih in tangtona","06-Sep-2024","22000","14-Oct-2024"
"1872","Normal/Others","WS/MP334/2024-2025/139223-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near lalu mahto house nps nawadih in tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1873","Normal/Others","WS/MP334/2024-2025/139224-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near jaynandan mahto naya ghar in tangtona.","06-Sep-2024","22000","14-Oct-2024"
"1874","Normal/Others","WS/MP334/2024-2025/139225-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near binod mahto house tangtona","06-Sep-2024","22000","14-Oct-2024"
"1875","Normal/Others","WS/MP334/2024-2025/139229-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near ishwarchandra house main road telmunga in garri","06-Sep-2024","22000","14-Oct-2024"
"1876","Normal/Others","WS/MP334/2024-2025/139230-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near prem kapardar house kabristan telmunga in garri","06-Sep-2024","22000","14-Oct-2024"
"1877","Normal/Others","WS/MP334/2024-2025/139231-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kasmar community centre quater in garri","06-Sep-2024","22000","14-Oct-2024"
"1878","Normal/Others","WS/MP334/2024-2025/139232-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near karmali tola neem ped in garri.","06-Sep-2024","22000","14-Oct-2024"
"1879","Normal/Others","WS/MP334/2024-2025/139233-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near goswami tent house main road in telmunga in garri.","06-Sep-2024","22000","14-Oct-2024"
"1880","Normal/Others","WS/MP423/2024-2025/139234-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road from H/O Arun Shaw to H/O Sarvan Shaw via Shankar Dhanuk Gally, T.G Road. (215 mtr)","05-Sep-2024","499946","09-Dec-2024"
"1881","Normal/Others","WS/MP423/2024-2025/139235-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road from H/O Mojammal to H/O Hakim Molla via H/O Kalam to H/O Sekh Hablu at Haldar Para. (120 mtr)","05-Sep-2024","499989","09-Dec-2024"
"1882","Normal/Others","WS/MP423/2024-2025/139236-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road with Pilling from H/O Nirmal Nayek to H/O Ram Dayal Shaw at Subhas Pally. (55 mtr)","05-Sep-2024","399969","09-Dec-2024"
"1883","Normal/Others","WS/MP423/2025-2026/139237-Purchase of ambulances (Four, three and two wheelers)","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Ambulance is required for the Gulzarbagh Nizamnagar surrounding area.","05-Sep-2024","900000","25-Sep-2025"
"1884","Normal/Others","WS/MP423/2024-2025/139238-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road with Cover Drain from Lotus Club to H/O SK Najrul via H/O Sk Bhola. (177 mtr)","05-Sep-2024","499943","09-Dec-2024"
"1885","Normal/Others","WS/MP423/2024-2025/139239-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road from H/O Nurb Islam Gazi to H/O Jabirullah Laskar via H/O Sk Baharul. (153 mtr)","05-Sep-2024","499918","09-Dec-2024"
"1886","Normal/Others","WS/MP423/2024-2025/139240-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road from H/O Raju Mahato to H/O Sanjib Bachhar at Natun  Pole. (311.45 mtr)","05-Sep-2024","499939","09-Dec-2024"
"1887","Normal/Others","WS/MP423/2024-2025/139241-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road from Loknath Medical Hall to H/O Chandan Ghosh at Bidhangarh. (150 mtr)","05-Sep-2024","499937","09-Dec-2024"
"1888","Normal/Others","WS/MP423/2024-2025/139242-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road from H/O Ranadeb Mitra to H/O Shankar Dutta at Kalinagar. (187 mtr)","05-Sep-2024","599965","09-Dec-2024"
"1889","Normal/Others","WS/MP423/2024-2025/139243-Providing drains and gutters for public drainage","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Development of Drainage System by laying SW Pipe, Near Holding No. R-129, R-35 at Masjid Talab Lane under Ward no-137","05-Sep-2024","477779","30-Jan-2025"
"1890","Normal/Others","WS/MP423/2024-2025/139244-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road with Drain from Holding No. T-119 to T-121 Marry Road. (50 mtr)","05-Sep-2024","249974","29-Nov-2024"
"1891","Normal/Others","WS/MP423/2024-2025/139245-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road with Drain from Holding No. Y-82 toY-86 Madarsaheb Ground Road. (40 mtr)","05-Sep-2024","249997","29-Nov-2024"
"1892","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction Of CC Road with Drain from H/O Julfikar Halder to H/O Chotu Halder at Haziratan. (40mtr)","05-Sep-2024","500000","NA"
"1893","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC Road with Drain Holding No. Z-3/238/123 to  Z-3/238/125 Bagdi Para Road. (150 mtr)","05-Sep-2024","500000","NA"
"1894","Normal/Others","WS/MP334/2024-2025/139251-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near sanjay kapardar niche rajwar tola house in garri","06-Sep-2024","22000","14-Oct-2024"
"1895","Normal/Others","WS/MP334/2024-2025/139252-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrang bali mandir niche rajwar tola in garri.","06-Sep-2024","22000","14-Oct-2024"
"1896","Normal/Others","WS/MP334/2024-2025/139253-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near community bathroom school in garri.","06-Sep-2024","22000","14-Oct-2024"
"1897","Normal/Others","WS/MP334/2024-2025/139254-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near jagdish hajam house in garri.","06-Sep-2024","22000","14-Oct-2024"
"1898","Normal/Others","WS/MP334/2024-2025/139255-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near arup mukherjee house in dhadhkiya mod in ponda panchayat","06-Sep-2024","22000","14-Oct-2024"
"1899","Normal/Others","WS/MP18236/2024-2025/139256-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","CHHOTELAL","ROBERTSGANJ(SC)","Interlocking work from culvert to Harijan Basti Trimuhani in Parasnath field in village Padhauti Block Naugarh","06-Sep-2024","400000","02-Dec-2024"
"1900","Normal/Others","WS/MP18236/2024-2025/139257-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","CHHOTELAL","ROBERTSGANJ(SC)","Construction of platform and roof at public place near Shiv Mandir in village Magrahi (12 x 12 feet length and width) Block Naugarh","06-Sep-2024","400000","02-Dec-2024"
"1901","Normal/Others","WS/MP18236/2024-2025/139258-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","CHHOTELAL","ROBERTSGANJ(SC)","Interlocking work from Primary School to Gorakhnath's house in village Amadha Charanpur Block Naugarh","06-Sep-2024","900000","02-Dec-2024"
"1902","Normal/Others","WS/MP18236/2024-2025/139259-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","CHHOTELAL","ROBERTSGANJ(SC)","Interlocking work from paved road to Anganwadi II in village Bishesarpur Block Naugarh","06-Sep-2024","450000","02-Dec-2024"
"1903","Normal/Others","WS/MP334/2024-2025/139261-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near durga prasad prajapati house main road telmunga in garri.","06-Sep-2024","22000","14-Oct-2024"
"1904","Normal/Others","WS/MP334/2024-2025/139262-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kamal kishore kapardar house in garri","06-Sep-2024","22000","14-Oct-2024"
"1905","Normal/Others","WS/MP334/2024-2025/139263-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near telmunga ghasi tola akhara in garri.","06-Sep-2024","22000","14-Oct-2024"
"1906","Normal/Others","WS/MP334/2024-2025/139264-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near telmunga ghasi niche tola in garri","06-Sep-2024","22000","14-Oct-2024"
"1907","Normal/Others","WS/MP18236/2024-2025/139266-Lighting of public spaces","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","CHHOTELAL","ROBERTSGANJ(SC)","Installation of high mast light at a public place near Kali Mata Temple, Chakia","06-Sep-2024","677108","02-Dec-2024"
