"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3147","Punjab","Setting up of kitchen and pantries","WS/MP235/2025-2026/263624","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Feb-2026","SMC GPS Mohan Ke Hithar","Payment Success","270000"
"3148","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268816","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","SMC GPS Mohan Ke Hithar","Payment Success","100000"
"3149","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/241986","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","17-Feb-2026","SARPANCH SHEE GRAMPANCHAYAT SHAHPUR","Payment Success","494010"
"3150","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/241983","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","17-Feb-2026","SARPANCH SHEE GRAMPANCHAYAT SHAHPUR","Payment Success","494010"
"3151","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP18430/2025-2026/244439","Bapatla(DISTRICT COLLECTOR BAPATLA_IDA)","Shri Paka Venkata Satyanarayana (2025-28) (2025-2028)","Elected MP","16-Apr-2026","EXECUTIVE ENGINEER APCPDCL CHIRALA","Payment Success","1599035"
"3152","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/267406","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","524875"
"3153","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","151145"
"3154","Punjab","Development of playground","WS/MP235/2025-2026/267409","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","16950"
"3155","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/267406","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","231600"
"3156","Punjab","Development of playground","WS/MP235/2025-2026/267409","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","23500"
"3157","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","127580"
"3158","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/267406","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28000"
"3159","Punjab","Purchase of furniture and fixtures for educational purposes","WS/MP235/2025-2026/267410","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","200000"
"3160","Punjab","Installing community drinking water plants","WS/MP235/2025-2026/267408","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","199170"
"3161","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/267406","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","215525"
"3162","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","111500"
"3163","Punjab","Development of playground","WS/MP235/2025-2026/267409","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28500"
"3164","Punjab","Development of playground","WS/MP235/2025-2026/267409","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28500"
"3165","Punjab","Development of playground","WS/MP235/2025-2026/267409","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28500"
"3166","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28500"
"3167","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28500"
"3168","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28500"
"3169","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","11400"
"3170","Punjab","Development of playground","WS/MP235/2025-2026/267409","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Apr-2026","Baba Inder Dass Public Sen Sec School","Payment Success","24050"
"3171","Punjab","Development of playground","WS/MP235/2025-2026/267409","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Apr-2026","Baba Inder Dass Public Sen Sec School","Payment Success","48502"
"3172","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Apr-2026","Baba Inder Dass Public Sen Sec School","Payment Success","12875"
