work_id,dataset_count,datasets
WS/MP346/2025-2026/175438,1,LS_completed
WS/MP346/2025-2026/175439,1,LS_completed
WS/MP829/2025-2026/180917,1,LS_completed
WS/MP829/2025-2026/169874,1,LS_completed
WS/MP18180/2025-2026/149584,2,LS_completed|RS_sanctioned
WS/MP18180/2025-2026/149585,2,LS_completed|RS_sanctioned
WS/MP728/2025-2026/193529,1,LS_completed
WS/MP013/2024-2025/145805,2,LS_completed|RS_sanctioned
WS/MP18158/2025-2026/194530,1,LS_completed
WS/MP18049/2025-2026/181689,1,LS_completed
WS/MP770/2025-2026/187655,1,LS_completed
WS/MP18049/2025-2026/181686,1,LS_completed
WS/MP770/2025-2026/187657,1,LS_completed
WS/MP18049/2025-2026/181688,1,LS_completed
WS/MP770/2025-2026/187706,1,LS_completed
WS/MP18179/2024-2025/168589,1,LS_completed
WS/MP770/2025-2026/187864,1,LS_completed
WS/MP770/2025-2026/187867,1,LS_completed
WS/MP770/2025-2026/188832,1,LS_completed
WS/MP770/2025-2026/188833,1,LS_completed
WS/MP770/2025-2026/188834,1,LS_completed
WS/MP770/2025-2026/188835,1,LS_completed
WS/MP770/2025-2026/188841,1,LS_completed
WS/MP770/2025-2026/189305,1,LS_completed
WS/MP578/2025-2026/156637,2,LS_completed|RS_sanctioned
WS/MP18205/2024-2025/148331,2,LS_completed|RS_sanctioned
WS/MP317/2025-2026/203483,1,LS_completed
WS/MP18158/2025-2026/196947,1,LS_completed
WS/MP317/2025-2026/203482,1,LS_completed
WS/MP18205/2024-2025/148387,2,LS_completed|RS_sanctioned
WS/MP618/2024-2025/156004,2,LS_completed|RS_sanctioned
WS/MP317/2025-2026/203487,1,LS_completed
WS/MP18205/2024-2025/148381,2,LS_completed|RS_sanctioned
WS/MP484/2024-2025/145616,2,LS_completed|RS_sanctioned
WS/MP18344/2025-2026/176577,1,LS_completed
WS/MP18069/2025-2026/183489,1,LS_completed
WS/MP18039/2025-2026/168637,1,LS_completed
WS/MP18039/2025-2026/168639,1,LS_completed
WS/MP18039/2024-2025/152029,2,LS_completed|RS_sanctioned
WS/MP745/2025-2026/141300,2,LS_completed|RS_sanctioned
WS/MP18039/2025-2026/168636,1,LS_completed
WS/MP18039/2025-2026/168638,1,LS_completed
WS/MP18039/2025-2026/168640,1,LS_completed
WS/MP18039/2024-2025/152033,2,LS_completed|RS_sanctioned
WS/MP18039/2024-2025/152032,2,LS_completed|RS_sanctioned
WS/MP18039/2024-2025/152031,2,LS_completed|RS_sanctioned
WS/MP18039/2024-2025/152030,2,LS_completed|RS_sanctioned
WS/MP18167/2025-2026/187679,1,LS_completed
WS/MP18326/2025-2026/160193,2,LS_completed|RS_sanctioned
WS/MP18167/2025-2026/187250,1,LS_completed
WS/MP18172/2025-2026/194396,1,LS_completed
WS/MP18326/2025-2026/160192,2,LS_completed|RS_sanctioned
WS/MP18037/2025-2026/173407,1,LS_completed
WS/MP18087/2025-2026/201983,1,LS_completed
WS/MP18400/2025-2026/198596,1,LS_completed
WS/MP18393/2025-2026/160970,2,LS_completed|RS_sanctioned
WS/MP18137/2025-2026/161334,2,LS_completed|RS_sanctioned
WS/MP508/2025-2026/189221,1,LS_completed
WS/MP389/2025-2026/195538,1,LS_completed
WS/MP360/2025-2026/200848,1,LS_completed
WS/MP18059/2024-2025/167195,1,LS_completed
WS/MP728/2025-2026/193528,1,LS_completed
WS/MP18180/2025-2026/149580,2,LS_completed|RS_sanctioned
WS/MP18205/2024-2025/148382,2,LS_completed|RS_sanctioned
WS/MP429/2025-2026/211552,1,LS_completed
WS/MP716/2025-2026/188929,1,LS_completed
WS/MP18069/2024-2025/165748,1,LS_completed
WS/MP18137/2025-2026/158683,2,LS_completed|RS_sanctioned
WS/MP18102/2025-2026/186524,1,LS_completed
WS/MP522/2025-2026/168688,1,LS_completed
WS/MP18102/2025-2026/186525,1,LS_completed
WS/MP18102/2025-2026/186529,1,LS_completed
WS/MP18102/2025-2026/186523,1,LS_completed
WS/MP18137/2025-2026/158693,2,LS_completed|RS_sanctioned
WS/MP18112/2024-2025/178885,1,LS_completed
WS/MP18326/2025-2026/174951,1,LS_completed
WS/MP18238/2024-2025/145046,2,LS_completed|RS_sanctioned
WS/MP18325/2024-2025/166324,1,LS_completed
WS/MP18190/2025-2026/169238,1,LS_completed
WS/MP522/2024-2025/163228,2,LS_completed|RS_sanctioned
WS/MP18203/2025-2026/154418,2,LS_completed|RS_sanctioned
WS/MP761/2025-2026/192163,1,LS_completed
WS/MP761/2025-2026/208363,1,LS_completed
WS/MP18232/2024-2025/143901,2,LS_completed|RS_sanctioned
WS/MP761/2025-2026/208364,1,LS_completed
WS/MP18191/2025-2026/168788,1,LS_completed
WS/MP18355/2025-2026/158368,2,LS_completed|RS_sanctioned
WS/MP18047/2024-2025/165133,1,LS_completed
